"","date","return","index"
"154",19981130,0.0563533744434717,154
"155",19981231,0.0566122341556483,155
"156",19990129,0.0270568209973646,156
"157",19990226,-0.0343342464332109,157
"158",19990331,0.0334757910141358,158
"159",19990430,0.0685419221151953,159
"160",19990528,-0.0156070024880508,160
"161",19990630,0.0443064232558006,161
"162",19990730,-0.0283581081846682,162
"163",19990831,-0.019932509709371,163
"164",19990930,-0.0228675241309417,164
"165",19991029,0.0551886232731527,165
"166",19991130,0.04205490498376,166
"167",19991231,0.084411882800396,167
"168",20000131,-0.029073497328672,168
"169",20000229,0.0501960613175522,169
"170",20000331,0.0324515074125661,170
"171",20000428,-0.0592903071399476,171
"172",20000531,-0.0345096319707914,172
"173",20000630,0.0454330254428949,173
"174",20000731,-0.0161583867041768,174
